number,gender,age,family,education,years_of_service,salary,sat_management,sat_colleques,sat_workingEnvironment,sat_salary,sat_tasks,healtcare,holidayCabin,gym,muscleCare
73,2,40,2,3.0,2.0,2027,5,3.0,4,3,4,1.0,,,
74,1,45,2,1.0,20.0,2846,3,5.0,1,1,3,1.0,,,
75,1,40,1,1.0,1.0,1949,1,5.0,1,1,1,1.0,,,
76,1,37,1,2.0,15.0,1598,1,5.0,1,1,1,1.0,,,
77,1,39,1,2.0,22.0,2183,4,5.0,3,1,2,,,,
78,1,22,1,3.0,0.0,1598,4,4.0,4,3,4,,1.0,1.0,
79,1,33,1,1.0,2.0,1638,1,3.0,2,1,2,1.0,,,
80,1,27,1,2.0,7.0,2612,3,4.0,3,3,3,1.0,,1.0,
81,1,35,2,2.0,16.0,2808,3,4.0,3,3,3,,,,
82,2,35,2,3.0,15.0,2183,3,4.0,4,3,4,1.0,,,
